id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
126,1248,157302,59,"£119,551.63"
170,1695,288137,72,"£568,879.12"
189,865,163452,71,"£554,194.30"
197,4494,885359,21,"£449,195.34"
59,2747,162082,20,"£482,005.93"
263,2600,683894,67,"£197,760.65"
240,2151,516338,71,"£86,061.49"
218,1739,379090,70,"£259,246.50"
237,1489,352941,72,"£435,504.22"
129,1494,192748,48,"£59,483.77"
118,1306,154126,44,"£93,621.38"
338,1001,338286,86,"£185,775.62"
636,540,343711,89,"£109,482.47"
48,2382,114319,26,"£2,249,885.38"
98,1620,158796,46,"£4,122,521.10"
190,1314,249649,54,"£3,859,940.28"
128,1080,138243,40,"£3,863,446.24"
853,3868,3299343,89,"£1,374,766.59"
"1,565",3029,4741045,112,"£85,042.16"
"1,466",2346,3439779,119,"£99,813.13"
"1,535",1994,3061242,120,"£38,550.04"
629,1664,1046415,104,"£934,009.82"
50,4293,214635,9,"£4,274,215.97"
91,2450,222974,6,"£3,996,313.69"
47,2328,109401,7,"£1,151,091.97"
135,21161,2856741,21,"£6,564,036.84"
544,14385,7825472,30,"£8,025,014.91"
367,10532,3865263,30,"£2,570,824.64"
146,16090,2349068,21,"£4,559,594.32"
673,12938,8707539,28,"£3,155,278.56"
587,10838,6361846,28,"£2,068,334.36"
240,13714,3291244,23,"£4,095,445.68"
403,9875,3979672,26,"£3,428,971.39"
225,9487,2134666,24,"£770,263.98"
246,10641,2617766,25,"£2,611,543.21"
420,8911,3742630,30,"£8,054,457.62"
330,7908,2609492,28,"£2,871,715.26"
180,7184,1293157,19,"£4,573,823.81"
440,5000,2199783,26,"£2,737,408.63"
"1,317",4070,5360366,29,"£2,199,376.92"
754,6065,4572984,39,"£355,617.27"
726,4540,3296174,36,"£85,893.87"
644,4854,3125828,39,"£151,555.97"
452,3876,1752144,38,"£2,636,846.22"
179,1791,320554,26,"£1,185,397.52"
47,1668,78401,10,"£3,406,647.39"
2,58673,117347,2,"£514,412.60"
18,48794,878296,6,"£722,381.36"
17,63418,1078104,6,"£1,698,492.49"
1,149967,149967,1,"£1,399,068.63"
17,56806,965710,8,"£784,619.78"
4,67536,270145,1,"£2,026,655.87"
33,74933,2472783,7,"£2,344,580.75"
27,14694,396730,15,"£1,897,378.35"
206,17277,3559022,23,"£1,350,595.88"
118,14858,1753231,23,"£3,283,635.31"
65,16119,1047731,23,"£4,410,211.71"
77,12921,994911,25,"£5,352,997.48"
115,18081,2079292,23,"£1,758,116.78"
74,14166,1048276,26,"£3,823,601.14"
68,15107,1027245,23,"£1,956,655.38"
102,10274,1047979,28,"£2,358,697.47"
46,23977,1102948,15,"£2,256,559.42"
52,21411,1113357,16,"£3,472,826.48"
49,18096,886695,18,"£7,116,596.49"
366,19774,7237368,27,"£12,245,948.75"
250,15299,3824720,26,"£2,447,491.59"
117,16479,1928000,22,"£5,142,539.37"
161,14061,2263871,26,"£8,815,838.64"
175,18348,3210924,23,"£3,576,308.48"
182,15806,2876754,25,"£10,783,792.81"
119,14215,1691532,23,"£30,249,677.38"
281,15737,4421983,27,"£1,399,528.24"
500,13864,6932176,26,"£2,344,376.64"
541,12840,6946464,26,"£3,788,437.10"
319,17455,5568210,26,"£1,329,421.80"
551,14355,7909469,27,"£4,298,817.41"
533,12705,6771649,27,"£9,558,510.36"
402,14003,5629103,26,"£4,327,355.60"
"1,031",11859,12226989,27,"£14,924,115.32"
"1,603",10923,17509339,27,"£33,464,831.28"
373,16429,6127886,26,"£928,323.56"
511,13677,6988755,28,"£1,958,884.41"
341,12572,4286958,28,"£2,853,723.60"
161,13430,2162223,23,"£314,831.07"
423,11334,4794284,26,"£541,292.93"
458,11090,5079334,26,"£1,455,943.18"
603,11662,7032228,27,"£2,802,773.27"
"1,492",10382,15490195,28,"£35,299,762.16"
"1,866",9832,18345756,29,"£1,540,701.81"
90,11655,1048978,27,"£32,550,571.68"
132,10349,1366111,31,"£169,729.81"
164,8320,1364521,34,"£2,926,665.18"
50,9392,469605,20,"£6,309,163.60"
91,7185,653865,32,"£364,295.55"
184,6035,1110448,41,"£499,333.02"
237,5284,1252394,49,"£317,711.73"
"1,406",3471,4879982,69,"£352,278.38"
170,5337,907286,39,"£1,444,552.99"
"1,489",3182,4737491,69,"£4,859,625.13"
36,7486,269500,18,"£8,608,183.41"
585,4377,2560414,65,"£188,493.13"
"1,027",4346,4463493,73,"£440,353.80"
20,6958,139151,16,"£227,961.61"
55,4566,251109,32,"£450,206.79"
61,4415,269290,28,"£1,536,553.52"
123,3365,413896,52,"£4,006,434.04"
391,3137,1226460,86,"£5,986,596.47"
"1,197",3047,3646774,108,"£720,293.88"
"1,834",2673,4902262,110,"£603,725.33"
11,6238,68613,7,"£302,776.54"
31,5137,159250,15,"£935,747.67"
59,5392,318109,30,"£32,181.87"
104,3044,316529,48,"£171,429.01"
293,3262,955879,65,"£533,973.12"
739,2519,1861624,105,"£87,845.24"
936,2330,2181068,99,"£1,647,739.29"
17,619,10526,12,"£2,923,405.14"
112,2062,230962,44,"£6,319,929.89"
213,2002,426446,48,"£23,891,034.91"
92,929,85502,17,"£543,769.28"
10,12648,126478,6,"£1,286,463.54"
8,10749,85994,7,"£1,688,368.88"
7,68483,479378,5,"£180,482.24"
18,9181,165265,13,"£290,606.03"
33,7286,240424,15,"£1,248,620.89"
144,7252,1044263,33,"£6,994,450.41"
147,3047,447967,49,"£24,190,789.31"
275,2637,725291,63,"£5,861,940.65"
137,12014,1645918,23,"£17,889,833.39"
145,8716,1263753,23,"£869,464.37"
880,8492,7472713,26,"£1,412,249.02"
"1,903",6183,11767168,26,"£134,244.67"
64,9027,577700,19,"£489,566.28"
192,4537,871135,26,"£3,624,315.10"
261,3803,992503,31,"£9,045,988.32"
29,8315,241121,19,"£299,734.05"
53,3544,187829,20,"£813,263.69"
